rocs,aps,n,nn,peptide,cv_seed,dataset,subset
0.616338980239235,0.29726697270818553,13094,52423,all,42,dataset_42,test
0.6597121544751734,0.35554069168641356,3103,12780,all,42,dataset_42,cancer
0.6223915601694663,0.3395299703226113,7495,30016,all,43,dataset_42,test
0.6703505542871581,0.395723936867732,3103,12780,all,43,dataset_42,cancer
0.6431958346335698,0.3280107408194632,12154,48663,all,44,dataset_42,test
0.6779726772566506,0.37651742621135653,3103,12780,all,44,dataset_42,cancer
0.6475215749334424,0.3254206941024469,10252,41038,all,45,dataset_42,test
0.6830722149346108,0.3899215278059357,3103,12780,all,45,dataset_42,cancer
0.6479964709382794,0.3362743641666578,9690,38798,all,46,dataset_42,test
0.6852950499213998,0.37338190828827933,3103,12780,all,46,dataset_42,cancer
0.6526255202179223,0.33265428328531477,10760,43093,all,47,dataset_42,test
0.6824151699324749,0.3786134332910217,3103,12780,all,47,dataset_42,cancer
0.6430241907019294,0.34281443068087925,8363,33493,all,48,dataset_42,test
0.6808608913480164,0.4098655747533302,3103,12780,all,48,dataset_42,cancer
0.6488538808065475,0.37838657715147417,6031,24153,all,49,dataset_42,test
0.6913325965028543,0.42672042517884695,3103,12780,all,49,dataset_42,cancer
0.6286416465476509,0.3113270554605513,7533,30179,all,50,dataset_42,test
0.6819707643216696,0.38855856557402935,3103,12780,all,50,dataset_42,cancer
0.6519173847263615,0.3441210966221533,7957,31869,all,51,dataset_42,test
0.679610145565627,0.40688686244436467,3103,12780,all,51,dataset_42,cancer
0.6401613790180052,0.33510833175037824,12254,49043,all,52,dataset_42,test
0.6728698992393146,0.3832432786112283,3103,12780,all,52,dataset_42,cancer
0.6195086507353755,0.29193872613462213,13094,52411,all,42,dataset_43,test
0.6604792891530695,0.3445316386052972,3103,12803,all,42,dataset_43,cancer
0.658286303261348,0.3800227559039998,7495,30002,all,43,dataset_43,test
0.688469916551191,0.42581820097185724,3103,12803,all,43,dataset_43,cancer
0.6584861758528168,0.3584509295727035,12154,48649,all,44,dataset_43,test
0.6860817471251613,0.4196946095824955,3103,12803,all,44,dataset_43,cancer
0.6338653843873381,0.3489431268249863,10252,41029,all,45,dataset_43,test
0.6688470256364393,0.38990825236436766,3103,12803,all,45,dataset_43,cancer
0.6453538846190339,0.3241295948399099,9690,38786,all,46,dataset_43,test
0.6769320627071649,0.35737481489962675,3103,12803,all,46,dataset_43,cancer
0.6420954549012389,0.30449776544393703,10760,43077,all,47,dataset_43,test
0.6717055594622886,0.3461273359764352,3103,12803,all,47,dataset_43,cancer
0.6596220895705229,0.3567813970673371,8363,33468,all,48,dataset_43,test
0.69387566496724,0.4233363464419163,3103,12803,all,48,dataset_43,cancer
0.6454298180893938,0.3712237565618757,6031,24148,all,49,dataset_43,test
0.674665760363881,0.40382812357341147,3103,12803,all,49,dataset_43,cancer
0.6445162031314045,0.3463908645549218,7533,30169,all,50,dataset_43,test
0.6892698997568675,0.4139053147845887,3103,12803,all,50,dataset_43,cancer
0.6181346164654924,0.318101987024324,7957,31854,all,51,dataset_43,test
0.6792815185995246,0.40115811099406945,3103,12803,all,51,dataset_43,cancer
0.6526007993111511,0.35045683194387317,12254,49035,all,52,dataset_43,test
0.6830587940522823,0.4060402852362218,3103,12803,all,52,dataset_43,cancer
0.6106302164014976,0.28368583656429125,13094,52426,all,42,dataset_44,test
0.648611056045905,0.32055287508364816,3103,12908,all,42,dataset_44,cancer
0.6432264277023152,0.3406566382707011,7495,30015,all,43,dataset_44,test
0.6772364648863356,0.37606884761529247,3103,12908,all,43,dataset_44,cancer
0.6375528794534726,0.30486421278498516,12154,48647,all,44,dataset_44,test
0.6796189518804887,0.35231996621069983,3103,12908,all,44,dataset_44,cancer
0.6481581905316149,0.3565493689139076,10252,41037,all,45,dataset_44,test
0.6644759397450273,0.37345354645410583,3103,12908,all,45,dataset_44,cancer
0.6268859113912554,0.3338122225370609,9690,38805,all,46,dataset_44,test
0.6708905688298488,0.377657765087064,3103,12908,all,46,dataset_44,cancer
0.6570473121167573,0.3540354743631804,10760,43087,all,47,dataset_44,test
0.6803449803817512,0.37705779800855116,3103,12908,all,47,dataset_44,cancer
0.6164377040290532,0.3373166855003976,8363,33493,all,48,dataset_44,test
0.6780037257146213,0.41314808901523414,3103,12908,all,48,dataset_44,cancer
